sourceInstance,targetInstance,linkTypeName,sourceObjectType,targetObjectType,linkTypeCategory,source_url
Bosch - 200mm Wafer fab current wafer capacity (SEMI WFF),Bosch - 200mm Wafer fab,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Bosch - Phase C of expansion plan: 150mm line current wafer capacity (SEMI WFF),Bosch - Phase C of expansion plan: 150mm line,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Bosch - Phase C of expansion plan: 200mm line current wafer capacity (SEMI WFF),Bosch - Phase C of expansion plan: 200mm line,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Bosch - 300mm Fab 1 Expansion current wafer capacity (SEMI WFF),Bosch - 300mm Fab 1 Expansion,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Bosch - M-Line + K-Line (merged March 2023) current wafer capacity (SEMI WFF),Bosch - M-Line + K-Line (merged March 2023),晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Bosch - 150mm SiC Line current wafer capacity (SEMI WFF),Bosch - 150mm SiC Line,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Bourns Ltd. - Fab 1 current wafer capacity (SEMI WFF),Bourns Ltd. - Fab 1,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Broadcom (was Avago) - 8-inch Lines combined fabs (B2+B3+B4)  (was B2 8-inch FBAR line (was Silicon processing + GaAs line) current wafer capacity (SEMI WFF),Broadcom (was Avago) - 8-inch Lines combined fabs (B2+B3+B4)  (was B2 8-inch FBAR line (was Silicon processing + GaAs line),晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Broadcom (was Avago) - Breinigsville (was CyOptics) current wafer capacity (SEMI WFF),Broadcom (was Avago) - Breinigsville (was CyOptics),晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Broadcom (was Avago) - Avago Depot Road current wafer capacity (SEMI WFF),Broadcom (was Avago) - Avago Depot Road,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Broadcom (was Avago) - Avago Yishun current wafer capacity (SEMI WFF),Broadcom (was Avago) - Avago Yishun,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Bryansk Semiconductor - N/A current wafer capacity (SEMI WFF),Bryansk Semiconductor - N/A,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
BYD Co. Ltd - Fab 1 current wafer capacity (SEMI WFF),BYD Co. Ltd - Fab 1,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
BYD Co. Ltd - BYD Chengdu current wafer capacity (SEMI WFF),BYD Co. Ltd - BYD Chengdu,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
BYD Co. Ltd - Jinan fab (was Jinan Energen) current wafer capacity (SEMI WFF),BYD Co. Ltd - Jinan fab (was Jinan Energen),晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
BYD Co. Ltd - Changsha fab (new line in existing fab) current wafer capacity (SEMI WFF),BYD Co. Ltd - Changsha fab (new line in existing fab),晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Cactus Materials - Wafer Processing Fab current wafer capacity (SEMI WFF),Cactus Materials - Wafer Processing Fab,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Canon - Ayase Plant current wafer capacity (SEMI WFF),Canon - Ayase Plant,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Canon - Oita plant current wafer capacity (SEMI WFF),Canon - Oita plant,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
CanSemi - Cansemi Phase 4 current wafer capacity (SEMI WFF),CanSemi - Cansemi Phase 4,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
CanSemi - CanSemi Phase 3 current wafer capacity (SEMI WFF),CanSemi - CanSemi Phase 3,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
CanSemi - CanSemi (Phase 1 + Phase 2) current wafer capacity (SEMI WFF),CanSemi - CanSemi (Phase 1 + Phase 2),晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
CDIL (Continental Devices India Ltd.) - N/A current wafer capacity (SEMI WFF),CDIL (Continental Devices India Ltd.) - N/A,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
CEITEC (Centro de Excelencia em Tecnologia Eletronica Avancada) - Building 2 current wafer capacity (SEMI WFF),CEITEC (Centro de Excelencia em Tecnologia Eletronica Avancada) - Building 2,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Changzhou Chemsemi - Fab 2 (SAW Line) current wafer capacity (SEMI WFF),Changzhou Chemsemi - Fab 2 (SAW Line),晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Changzhou Chemsemi - Fab 1 (VCSEL Line) current wafer capacity (SEMI WFF),Changzhou Chemsemi - Fab 1 (VCSEL Line),晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Chengdu HiWafer Semiconductor - HiWafer fab current wafer capacity (SEMI WFF),Chengdu HiWafer Semiconductor - HiWafer fab,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"China Resources Huajing Microelectronics Co., Ltd. - Plant 5 (6"" line) current wafer capacity (SEMI WFF)","China Resources Huajing Microelectronics Co., Ltd. - Plant 5 (6"" line)",晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"China Resources Huajing Microelectronics Co., Ltd. - Plant 2 (4"" line) current wafer capacity (SEMI WFF)","China Resources Huajing Microelectronics Co., Ltd. - Plant 2 (4"" line)",晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"China Resources Huajing Microelectronics Co., Ltd. - Plant 5 (5"" line) current wafer capacity (SEMI WFF)","China Resources Huajing Microelectronics Co., Ltd. - Plant 5 (5"" line)",晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Chongqing Xinlian Microelectronics (XLMEC) - XLMEC Fab 1 current wafer capacity (SEMI WFF),Chongqing Xinlian Microelectronics (XLMEC) - XLMEC Fab 1,晶圆产能统计对象晶圆制造工厂,晶圆产能,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
