sourceInstance,targetInstance,linkTypeName,sourceObjectType,targetObjectType,linkTypeCategory,source_url
Lakeside Optoelectronics Technology - R&D Line project capital expenditure (SEMI WFF),Lakeside Optoelectronics Technology - R&D Line,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Lawrence Livermore Labs - N/A project capital expenditure (SEMI WFF),Lawrence Livermore Labs - N/A,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
LETI - PFP (Plate Forme Photonique) project capital expenditure (SEMI WFF),LETI - PFP (Plate Forme Photonique),资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
LETI - 200mm CMOS line Building 41 (Nanotec 200&300) project capital expenditure (SEMI WFF),LETI - 200mm CMOS line Building 41 (Nanotec 200&300),资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
LETI - 3D Integration Building 41 (was 300mm CMOS line) project capital expenditure (SEMI WFF),LETI - 3D Integration Building 41 (was 300mm CMOS line),资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
LETI - MEMS 200 (Building 52) project capital expenditure (SEMI WFF),LETI - MEMS 200 (Building 52),资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Masdar Institute of Science and Technology - Micro-fabrication laboratory project capital expenditure (SEMI WFF),Masdar Institute of Science and Technology - Micro-fabrication laboratory,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
MEMSRight - MEMS Right project capital expenditure (SEMI WFF),MEMSRight - MEMS Right,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Microfabrica - EFAB project capital expenditure (SEMI WFF),Microfabrica - EFAB,资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Micron - Fab 4 (Bldg. 51 R&D expansion) project capital expenditure (SEMI WFF),Micron - Fab 4 (Bldg. 51 R&D expansion),资本开支统计对象研发中试工厂,资本开支,研发中试工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
