sourceInstance,targetInstance,linkTypeName,sourceObjectType,targetObjectType,linkTypeCategory,source_url
Canon - Oita plant project capital expenditure (SEMI WFF),Canon - Oita plant,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
CanSemi - Cansemi Phase 4 project capital expenditure (SEMI WFF),CanSemi - Cansemi Phase 4,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
Changzhou Chemsemi - Fab 2 (SAW Line) project capital expenditure (SEMI WFF),Changzhou Chemsemi - Fab 2 (SAW Line),资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
Changzhou Chemsemi - Fab 1 (VCSEL Line) project capital expenditure (SEMI WFF),Changzhou Chemsemi - Fab 1 (VCSEL Line),资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Chengdu HiWafer Semiconductor - HiWafer fab project capital expenditure (SEMI WFF),Chengdu HiWafer Semiconductor - HiWafer fab,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Chongqing Xinling Microelectronics - Chongqing Fab project capital expenditure (SEMI WFF),Chongqing Xinling Microelectronics - Chongqing Fab,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
Chunghwa Leading Photonics Tech (CLPT) - Yangmei fab project capital expenditure (SEMI WFF),Chunghwa Leading Photonics Tech (CLPT) - Yangmei fab,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
Clas-SiC Wafer Fab - Lochgelly fab project capital expenditure (SEMI WFF),Clas-SiC Wafer Fab - Lochgelly fab,资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"Coherent (was II-VI Incorporated) - Fremont (was Finisar, was Genoa) project capital expenditure (SEMI WFF)","Coherent (was II-VI Incorporated) - Fremont (was Finisar, was Genoa)",资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Company Detail
"Coherent (was II-VI Incorporated) - Sherman (was Finisar, was MEMC) project capital expenditure (SEMI WFF)","Coherent (was II-VI Incorporated) - Sherman (was Finisar, was MEMC)",资本开支统计对象晶圆制造工厂,资本开支,晶圆制造工厂,统计对象,SEMI_WFF_2026_1Q.xlsx#Project Spending
