nameCn,nameEn,objectTypeName,description,property.capex_amount,property.currency,property.period,property.capex_category,property.region,property.capacity_or_technology_purpose,property.data_source,property.company_name,property.previous_period_value,property.next_period_value,property.facility_name,property.facility_record_id,property.source_sheet,source_url
Microchip 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,241.4,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Microchip,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Micron 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation by company.,2745,USD million,2026,construction_spending,global,semiconductor_fab_construction,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Micron,2580,8175,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Micron 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,9763,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Micron,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Mitsubishi Electric 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,360,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Mitsubishi Electric,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
NEXIC Technology 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,NEXIC Technology,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Nanya Technology 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation by company.,630,USD million,2026,construction_spending,global,semiconductor_fab_construction,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Nanya Technology,210,460,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Nanya Technology 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,344,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Nanya Technology,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Nexchip 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,150,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Nexchip,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Nexchip 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,960,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Nexchip,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Nexperia 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,77.4,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Nexperia,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Ningbo Zhongxin Semi 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Ningbo Zhongxin Semi,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Odyssey 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Odyssey,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
OnMicro Electronics (HunterSun) 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,60,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,OnMicro Electronics (HunterSun),,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Optimal Perenni 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,50,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Optimal Perenni,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Optimal Perenni 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,3010,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Optimal Perenni,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Pengxinwei Semiconductor (PXW Semi) 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Pengxinwei Semiconductor (PXW Semi),,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Pengxinwei Semiconductor (PXW Semi) 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,80,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Pengxinwei Semiconductor (PXW Semi),,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Pensun Technology (PST Semi) 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,80,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Pensun Technology (PST Semi),,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
"Polar Semiconductor, Inc (PSI) (Polarfab) 2026 construction spending (SEMI WFF)",,资本开支,SEMI WFF 2026 Q1 construction spending observation.,30,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,"Polar Semiconductor, Inc (PSI) (Polarfab)",,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
"Polar Semiconductor, Inc (PSI) (Polarfab) 2026 equipment spending (SEMI WFF)",,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,225,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,"Polar Semiconductor, Inc (PSI) (Polarfab)",,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
Poseico 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Poseico,,,,,,file:///Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx
