"nameCn","generatedId","sourceNameEn","strategy"
"成品测试机","final_test_equipment","final_test_equipment","nameEn"
"探针台","probe_equipment","probe_equipment","nameEn"
"晶圆探针台","wafer_prober","wafer_prober","nameEn"
"测试接口件","test_interface_component","test_interface_component","nameEn"
"探针卡","probe_card","probe_card","nameEn"
"测试插座","test_socket","test_socket","nameEn"
"测试载板","load_board","load_board","nameEn"
"自动测试机","automatic_test_equipment","automatic_test_equipment","nameEn"
"服务与流程","service_process","service_process","nameEn"
"制造与封测服务","manufacturing_and_packaging_testing_services","manufacturing_and_packaging_testing_services","nameEn"
"封装测试服务","assembly_test_service","assembly_test_service","nameEn"
"晶圆代工","wafer_foundry","wafer_foundry","nameEn"
"设计与IP","design_and_ip","design_and_ip","nameEn"
"半导体设计支撑","semiconductor_design_enablement","semiconductor_design_enablement","nameEn"
"EDA工具","eda_tool","eda_tool","nameEn"
